,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
262,1/6/23,43955,1,west ridge,41.993675,-87.6932,2.435868056,22.62916667,None
263,1/6/23,140390,1,uptown,41.975258,-87.67274,1.96189415,30.08635097,None
264,1/7/23,124715,1,north park,41.980335,-87.71664,1.829526462,11.48746518,None
265,1/7/23,124677,0,edgewater,41.99066,-87.66854,12.31676656,50.96056782,None
266,1/7/23,151082,0,rogers park,41.998966,-87.65796,22.22204861,59.81111111,None
267,1/7/23,137622,1,edgewater,41.998116,-87.65649,2.605763889,11.25555556,None
268,1/7/23,124759,1,north park,41.98036,-87.716576,1.050923077,11.36643357,None
269,1/7/23,124737,0,edgewater,41.994427,-87.66211,9.992098284,52.27613105,None
270,1/7/23,151188,0,near north side,41.897343,-87.62692,19.52247566,50.56189152,None
271,1/7/23,36901,1,loop,41.88437,-87.61652,2.966711268,13.36478873,None
272,1/7/23,3499,0,west town,41.892696,-87.68569,15.41057778,58.67555556,None
273,1/7/23,4404,0,NA,42.02362,-87.76341,15.15355556,48.05138889,None
274,1/7/23,45079,1,NA,42.0225,-87.76374,1.740180556,25.51111111,None
275,1/7/23,96079,0,new city,41.81229,-87.66579,24.60045518,52.44117647,None
276,1/7/23,101643,0,north park,41.980278,-87.71708,22.86241643,65.96657382,None
277,1/7/23,52011,0,west town,41.911945,-87.66863,9.739568245,45.84818942,None
278,1/7/23,4395,0,west ridge,41.99568,-87.69189,16.76632867,45.70769231,None
279,1/7/23,128349,0,south deering,41.7118,-87.55293,11.78064763,48.80362117,None
280,1/7/23,140102,0,brighton park,41.82193,-87.69146,22.9299581,62.73044693,None
281,1/7/23,57579,1,edgewater,41.991753,-87.657234,3.822165963,23.36990155,None
282,1/7/23,45359,1,west ridge,41.993645,-87.69304,4.976875,16.9375,None
283,1/7/23,6546,1,lower west side,41.856613,-87.6818,1.170391061,24.33938547,None
284,1/7/23,56135,0,humboldt park,41.902527,-87.73614,10.24834049,53.03290415,None
285,1/7/23,124685,0,edgewater,41.991535,-87.6575,2321.361958,51.44305556,None
286,1/7/23,94003,0,mckinley park,41.824825,-87.675125,24.35543972,57.08297872,None
287,1/7/23,51933,0,jefferson park,41.981876,-87.7778,24.32963225,52.99292786,None
288,1/7/23,87741,0,west town,41.90011,-87.68288,23.96778642,51.77652051,None
289,1/7/23,8476,0,near south side,41.861206,-87.62989,7.93727649,99.38410596,None
290,1/7/23,96035,0,mckinley park,41.828648,-87.66791,11.14947917,57.96805556,None
291,1/7/23,133664,1,near south side,41.8595,-87.6205,12.42879167,44.47777778,None
292,1/7/23,150042,0,edgewater,41.998127,-87.65679,20.88942976,61.06536857,None
293,1/7/23,148029,0,irving park,41.9475,-87.71516,24.72825175,50.72587413,None
294,1/7/23,43955,1,west ridge,41.993675,-87.6932,8.071458333,21.25902778,None
295,1/7/23,120369,0,NA,41.79734,-87.876686,15.47082163,51.29073034,None
296,1/7/23,124513,1,irving park,41.95386,-87.71078,2.311422594,20.32775453,None
297,1/7/23,124679,0,south chicago,41.74125,-87.55403,15.52852034,53.33941094,None
298,1/7/23,124649,0,east side,41.68474,-87.53683,14.20307854,51.69565217,None
299,1/7/23,7920,0,south lawndale,41.849483,-87.69537,21.03577514,50.42877095,None
300,1/7/23,140390,1,uptown,41.975258,-87.67274,17.06164521,26.75250358,None
301,1/8/23,45359,1,west ridge,41.993645,-87.69304,3.746801113,16.66620306,None
302,1/8/23,3499,0,west town,41.892696,-87.68569,11.90422078,57.88095238,None
303,1/8/23,124759,1,north park,41.98036,-87.716576,1.332569444,11.68611111,None
304,1/8/23,124679,0,south chicago,41.74125,-87.55403,11.55513846,51.24,None
305,1/8/23,6546,1,lower west side,41.856613,-87.6818,0.986298883,21.5377095,None
306,1/8/23,101643,0,north park,41.980278,-87.71708,25.06659028,62.76944444,None
307,1/8/23,4395,0,west ridge,41.99568,-87.69189,18.90011972,43.35915493,None
308,1/8/23,124737,0,edgewater,41.994427,-87.66211,8.417673759,49.57730496,None
309,1/8/23,96035,0,mckinley park,41.828648,-87.66791,8.0761875,53.55555556,None
310,1/8/23,56135,0,humboldt park,41.902527,-87.73614,11.69943284,49.54776119,None
311,1/8/23,151082,0,rogers park,41.998966,-87.65796,18.92991655,56.78442281,None
312,1/8/23,151188,0,near north side,41.897343,-87.62692,14.4808484,47.78859527,None
313,1/8/23,36901,1,loop,41.88437,-87.61652,2.854480337,13.21769663,None
314,1/8/23,137622,1,edgewater,41.998116,-87.65649,1.413296245,13.41724618,None
315,1/8/23,150042,0,edgewater,41.998127,-87.65679,17.26027159,58.01114206,None
316,1/8/23,7920,0,south lawndale,41.849483,-87.69537,17.87191176,46.70168067,None
317,1/8/23,52011,0,west town,41.911945,-87.66863,8.253864903,44.045961,None
318,1/8/23,43955,1,west ridge,41.993675,-87.6932,5.705363248,21.01638177,None
319,1/8/23,124715,1,north park,41.980335,-87.71664,2.067763889,12,None
320,1/8/23,124685,0,edgewater,41.991535,-87.6575,2368.674296,48.64016736,None
321,1/8/23,148029,0,irving park,41.9475,-87.71516,20.72550562,49.0491573,None
322,1/8/23,124513,1,irving park,41.95386,-87.71078,4.282278481,20.47257384,None
323,1/8/23,4404,0,NA,42.02362,-87.76341,18.79240612,46.26703755,None
324,1/8/23,124677,0,edgewater,41.99066,-87.66854,12.79823657,48.90130624,None
325,1/8/23,133664,1,near south side,41.8595,-87.6205,9.720145833,37.67361111,None
326,1/8/23,8476,0,near south side,41.861206,-87.62989,7.253763118,95.63868066,None
327,1/8/23,87741,0,west town,41.90011,-87.68288,19.66954418,48.47685835,None
